2026-01-22 19:45:23,201 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 19:45:23,201 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 19:45:23,201 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 19:45:23,566 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 19:45:23,566 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 19:45:23,566 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 19:45:24,108 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 19:45:24,137 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 19:45:36,629 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 19:45:36,665 - [INFO] - [PLAYER] Initialized at (1632, 1728) Role: CITIZEN
2026-01-22 19:45:38,494 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (11, 90) | Reason: Go Home | CurrPos: (45, 51)
2026-01-22 19:45:38,566 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (10, 67) | Reason: Go Home | CurrPos: (40, 53)
2026-01-22 19:45:38,580 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (6, 40) | Reason: Go Home | CurrPos: (40, 53)
2026-01-22 19:45:38,646 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (12, 55) | Reason: Go Home | CurrPos: (50, 45)
2026-01-22 19:45:38,666 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (31, 83) | Reason: Go Home | CurrPos: (51, 48)
2026-01-22 19:45:38,696 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (11, 55) | Reason: Go Home | CurrPos: (50, 44)
2026-01-22 19:45:38,797 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (12, 91) | Reason: Go Home | CurrPos: (45, 52)
2026-01-22 19:45:38,863 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (31, 84) | Reason: Go Home | CurrPos: (50, 48)
2026-01-22 19:45:38,911 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (41, 86) | Reason: Go Home | CurrPos: (48, 62)
2026-01-22 19:45:38,920 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (40, 34) | Reason: Go Home | CurrPos: (48, 45)
2026-01-22 19:45:38,935 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (94, 29) | Reason: Go Home | CurrPos: (48, 45)
2026-01-22 19:45:38,963 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (22, 90) | Reason: Go Home | CurrPos: (48, 59)
2026-01-22 19:45:38,993 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (10, 35) | Reason: Go Home | CurrPos: (48, 45)
2026-01-22 19:45:39,125 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (6, 62) | Reason: Go Home | CurrPos: (47, 53)
2026-01-22 19:45:39,147 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (27, 66) | Reason: Go Home | CurrPos: (40, 56)
2026-01-22 19:45:39,170 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (72, 81) | Reason: Go Home | CurrPos: (47, 45)
2026-01-22 19:45:39,311 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (91, 33) | Reason: Go Home | CurrPos: (48, 49)
