2026-01-22 01:16:13,051 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 01:16:13,087 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 01:16:13,201 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 01:16:13,202 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 01:16:13,202 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 01:16:23,770 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 01:16:23,789 - [INFO] - [PLAYER] Initialized at (1440, 1664) Role: CITIZEN
2026-01-22 01:16:30,291 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:30,396 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:30,682 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:30,771 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:30,892 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:30,996 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:31,236 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:31,356 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:31,491 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:31,597 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:31,702 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:31,806 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:31,836 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:31,957 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:32,062 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:32,361 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:32,466 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:32,557 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:32,841 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:32,946 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:33,336 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:33,690 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (97, 4) | Reason: Random Move | CurrPos: (78, 86)
2026-01-22 01:16:33,921 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:34,011 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:34,116 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:34,356 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
