2026-01-22 23:12:14,472 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 23:12:14,472 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 23:12:14,475 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 23:12:14,771 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 23:12:14,771 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 23:12:14,798 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 23:12:14,798 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 23:12:14,829 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 23:12:14,829 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 23:12:14,839 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 23:12:24,435 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 23:12:24,435 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 23:12:24,454 - [INFO] - [PLAYER] Initialized at (1568, 1664) Role: CITIZEN
2026-01-22 23:12:24,454 - [INFO] - [PLAYER] Initialized at (1568, 1664) Role: CITIZEN
2026-01-22 23:12:24,455 - [INFO] - [PLAYER] Role changed to CITIZEN (MINER)
2026-01-22 23:12:25,208 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (59, 22) | Reason: Go Home | CurrPos: (50, 45)
2026-01-22 23:12:25,208 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (59, 22) | Reason: Go Home | CurrPos: (50, 45)
2026-01-22 23:12:25,241 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (8, 67) | Reason: Go Home | CurrPos: (45, 47)
2026-01-22 23:12:25,241 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (8, 67) | Reason: Go Home | CurrPos: (45, 47)
2026-01-22 23:12:25,325 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (4, 96) | Reason: Go Home | CurrPos: (50, 44)
2026-01-22 23:12:25,325 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (4, 96) | Reason: Go Home | CurrPos: (50, 44)
2026-01-22 23:12:25,347 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (8, 66) | Reason: Go Home | CurrPos: (45, 47)
2026-01-22 23:12:25,347 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (8, 66) | Reason: Go Home | CurrPos: (45, 47)
2026-01-22 23:12:25,371 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (5, 95) | Reason: Go Home | CurrPos: (50, 44)
2026-01-22 23:12:25,371 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (5, 95) | Reason: Go Home | CurrPos: (50, 44)
2026-01-22 23:12:25,377 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (14, 91) | Reason: Go Home | CurrPos: (47, 52)
2026-01-22 23:12:25,377 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (14, 91) | Reason: Go Home | CurrPos: (47, 52)
2026-01-22 23:12:25,403 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (35, 34) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:25,403 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (35, 34) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:25,422 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (89, 61) | Reason: Go Home | CurrPos: (55, 51)
2026-01-22 23:12:25,422 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (89, 61) | Reason: Go Home | CurrPos: (55, 51)
2026-01-22 23:12:25,525 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (90, 59) | Reason: Go Home | CurrPos: (56, 51)
2026-01-22 23:12:25,525 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (90, 59) | Reason: Go Home | CurrPos: (56, 51)
2026-01-22 23:12:25,525 - [DEBUG] - [AI_MOVE_Bot 15] Set Destination: (37, 95) | Reason: Go Home | CurrPos: (49, 49)
2026-01-22 23:12:25,525 - [DEBUG] - [AI_MOVE_Bot 15] Set Destination: (37, 95) | Reason: Go Home | CurrPos: (49, 49)
2026-01-22 23:12:25,544 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (87, 59) | Reason: Go Home | CurrPos: (56, 51)
2026-01-22 23:12:25,544 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (87, 59) | Reason: Go Home | CurrPos: (56, 51)
2026-01-22 23:12:25,587 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (11, 60) | Reason: Go Home | CurrPos: (56, 51)
2026-01-22 23:12:25,587 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (11, 60) | Reason: Go Home | CurrPos: (56, 51)
2026-01-22 23:12:25,603 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (71, 69) | Reason: Go Home | CurrPos: (44, 48)
2026-01-22 23:12:25,603 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (71, 69) | Reason: Go Home | CurrPos: (44, 48)
2026-01-22 23:12:25,752 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (40, 94) | Reason: Go Home | CurrPos: (57, 51)
2026-01-22 23:12:25,752 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (40, 94) | Reason: Go Home | CurrPos: (57, 51)
2026-01-22 23:12:25,766 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (58, 22) | Reason: Go Home | CurrPos: (42, 48)
2026-01-22 23:12:25,766 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (58, 22) | Reason: Go Home | CurrPos: (42, 48)
2026-01-22 23:12:25,842 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (35, 82) | Reason: Go Home | CurrPos: (58, 51)
2026-01-22 23:12:25,842 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (35, 82) | Reason: Go Home | CurrPos: (58, 51)
2026-01-22 23:12:26,075 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (10, 55) | Reason: Go Home | CurrPos: (48, 47)
2026-01-22 23:12:26,075 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (10, 55) | Reason: Go Home | CurrPos: (48, 47)
2026-01-22 23:12:26,097 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (58, 23) | Reason: Go Home | CurrPos: (43, 46)
2026-01-22 23:12:26,097 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (58, 23) | Reason: Go Home | CurrPos: (43, 46)
2026-01-22 23:12:26,113 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (57, 23) | Reason: Go Home | CurrPos: (43, 46)
2026-01-22 23:12:26,113 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (57, 23) | Reason: Go Home | CurrPos: (43, 46)
2026-01-22 23:12:26,196 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (10, 54) | Reason: Go Home | CurrPos: (47, 48)
2026-01-22 23:12:26,196 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (10, 54) | Reason: Go Home | CurrPos: (47, 48)
2026-01-22 23:12:26,199 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (27, 32) | Reason: Go Home | CurrPos: (48, 57)
2026-01-22 23:12:26,199 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (27, 32) | Reason: Go Home | CurrPos: (48, 57)
2026-01-22 23:12:26,218 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (68, 9) | Reason: Go Home | CurrPos: (43, 45)
2026-01-22 23:12:26,218 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (68, 9) | Reason: Go Home | CurrPos: (43, 45)
2026-01-22 23:12:26,337 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (26, 15) | Reason: Go Home | CurrPos: (43, 44)
2026-01-22 23:12:26,337 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (26, 15) | Reason: Go Home | CurrPos: (43, 44)
2026-01-22 23:12:26,424 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (3, 45) | Reason: Go Home | CurrPos: (46, 48)
2026-01-22 23:12:26,424 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (3, 45) | Reason: Go Home | CurrPos: (46, 48)
2026-01-22 23:12:26,438 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (36, 34) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:26,438 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (36, 34) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:26,468 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (36, 34) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:26,468 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (36, 34) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:26,499 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (5, 55) | Reason: Go Home | CurrPos: (62, 51)
2026-01-22 23:12:26,499 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (5, 55) | Reason: Go Home | CurrPos: (62, 51)
2026-01-22 23:12:26,585 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (6, 45) | Reason: Go Home | CurrPos: (45, 48)
2026-01-22 23:12:26,585 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (6, 45) | Reason: Go Home | CurrPos: (45, 48)
2026-01-22 23:12:26,592 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (25, 15) | Reason: Go Home | CurrPos: (43, 45)
2026-01-22 23:12:26,592 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (25, 15) | Reason: Go Home | CurrPos: (43, 45)
2026-01-22 23:12:26,608 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (10, 68) | Reason: Go Home | CurrPos: (43, 46)
2026-01-22 23:12:26,608 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (10, 68) | Reason: Go Home | CurrPos: (43, 46)
2026-01-22 23:12:26,755 - [DEBUG] - [AI_MOVE_Bot 15] Set Destination: (95, 38) | Reason: Go Home | CurrPos: (48, 55)
2026-01-22 23:12:26,755 - [DEBUG] - [AI_MOVE_Bot 15] Set Destination: (95, 38) | Reason: Go Home | CurrPos: (48, 55)
2026-01-22 23:12:26,827 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (36, 34) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:26,827 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (36, 34) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:26,833 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (94, 31) | Reason: Go Home | CurrPos: (64, 47)
2026-01-22 23:12:26,833 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (94, 31) | Reason: Go Home | CurrPos: (64, 47)
2026-01-22 23:12:26,864 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (95, 30) | Reason: Go Home | CurrPos: (64, 47)
2026-01-22 23:12:26,864 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (95, 30) | Reason: Go Home | CurrPos: (64, 47)
2026-01-22 23:12:26,881 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (31, 83) | Reason: Go Home | CurrPos: (64, 47)
2026-01-22 23:12:26,881 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (31, 83) | Reason: Go Home | CurrPos: (64, 47)
2026-01-22 23:12:26,930 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (27, 33) | Reason: Go Home | CurrPos: (43, 57)
2026-01-22 23:12:26,930 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (27, 33) | Reason: Go Home | CurrPos: (43, 57)
2026-01-22 23:12:26,948 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (36, 34) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:26,948 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (36, 34) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:26,962 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (5, 45) | Reason: Go Home | CurrPos: (65, 47)
2026-01-22 23:12:26,962 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (5, 45) | Reason: Go Home | CurrPos: (65, 47)
2026-01-22 23:12:27,081 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (27, 31) | Reason: Go Home | CurrPos: (43, 57)
2026-01-22 23:12:27,081 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (27, 31) | Reason: Go Home | CurrPos: (43, 57)
2026-01-22 23:12:27,097 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (36, 35) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:27,097 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (36, 35) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:27,105 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (41, 88) | Reason: Go Home | CurrPos: (66, 47)
2026-01-22 23:12:27,105 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (41, 88) | Reason: Go Home | CurrPos: (66, 47)
2026-01-22 23:12:27,130 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (63, 69) | Reason: Go Home | CurrPos: (40, 47)
2026-01-22 23:12:27,130 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (63, 69) | Reason: Go Home | CurrPos: (40, 47)
2026-01-22 23:12:27,180 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (87, 60) | Reason: Go Home | CurrPos: (66, 47)
2026-01-22 23:12:27,180 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (87, 60) | Reason: Go Home | CurrPos: (66, 47)
2026-01-22 23:12:27,245 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (7, 45) | Reason: Go Home | CurrPos: (41, 48)
2026-01-22 23:12:27,245 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (7, 45) | Reason: Go Home | CurrPos: (41, 48)
2026-01-22 23:12:27,251 - [DEBUG] - [AI_MOVE_Bot 15] Set Destination: (95, 39) | Reason: Go Home | CurrPos: (48, 52)
2026-01-22 23:12:27,251 - [DEBUG] - [AI_MOVE_Bot 15] Set Destination: (95, 39) | Reason: Go Home | CurrPos: (48, 52)
2026-01-22 23:12:27,265 - [DEBUG] - [AI_MOVE_Bot 15] Set Destination: (26, 32) | Reason: Go Home | CurrPos: (48, 52)
2026-01-22 23:12:27,265 - [DEBUG] - [AI_MOVE_Bot 15] Set Destination: (26, 32) | Reason: Go Home | CurrPos: (48, 52)
2026-01-22 23:12:27,340 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (6, 45) | Reason: Go Home | CurrPos: (40, 48)
2026-01-22 23:12:27,340 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (6, 45) | Reason: Go Home | CurrPos: (40, 48)
2026-01-22 23:12:27,340 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (91, 32) | Reason: Go Home | CurrPos: (41, 57)
2026-01-22 23:12:27,340 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (91, 32) | Reason: Go Home | CurrPos: (41, 57)
2026-01-22 23:12:27,356 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (63, 69) | Reason: Go Home | CurrPos: (39, 47)
2026-01-22 23:12:27,356 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (63, 69) | Reason: Go Home | CurrPos: (39, 47)
2026-01-22 23:12:27,442 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (89, 39) | Reason: Go Home | CurrPos: (40, 48)
2026-01-22 23:12:27,442 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (89, 39) | Reason: Go Home | CurrPos: (40, 48)
2026-01-22 23:12:27,495 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (6, 55) | Reason: Go Home | CurrPos: (68, 47)
2026-01-22 23:12:27,495 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (6, 55) | Reason: Go Home | CurrPos: (68, 47)
2026-01-22 23:12:27,746 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (33, 23) | Reason: Go Home | CurrPos: (37, 47)
2026-01-22 23:12:27,746 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (33, 23) | Reason: Go Home | CurrPos: (37, 47)
2026-01-22 23:12:27,817 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (36, 34) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:27,817 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (36, 34) | Reason: Go Home | CurrPos: (52, 52)
2026-01-22 23:12:27,884 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (5, 55) | Reason: Go Home | CurrPos: (66, 47)
2026-01-22 23:12:27,884 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (5, 55) | Reason: Go Home | CurrPos: (66, 47)
2026-01-22 23:12:27,902 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (75, 12) | Reason: Go Home | CurrPos: (65, 47)
2026-01-22 23:12:27,902 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (75, 12) | Reason: Go Home | CurrPos: (65, 47)
2026-01-22 23:12:27,992 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (33, 22) | Reason: Go Home | CurrPos: (35, 47)
2026-01-22 23:12:27,992 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (33, 22) | Reason: Go Home | CurrPos: (35, 47)
2026-01-22 23:12:28,003 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (5, 40) | Reason: Go Home | CurrPos: (35, 47)
2026-01-22 23:12:28,003 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (5, 40) | Reason: Go Home | CurrPos: (35, 47)
2026-01-22 23:12:28,109 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (74, 13) | Reason: Go Home | CurrPos: (64, 47)
2026-01-22 23:12:28,109 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (74, 13) | Reason: Go Home | CurrPos: (64, 47)
