2026-01-22 01:13:23,525 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 01:13:23,525 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 01:13:23,525 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 01:13:23,805 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 01:13:23,805 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 01:13:23,835 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 01:13:23,835 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 01:13:23,918 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 01:13:23,918 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 01:13:23,928 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 01:13:37,336 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 01:13:37,336 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 01:13:37,355 - [INFO] - [PLAYER] Initialized at (1568, 1664) Role: CITIZEN
2026-01-22 01:13:37,355 - [INFO] - [PLAYER] Initialized at (1568, 1664) Role: CITIZEN
2026-01-22 01:13:37,358 - [INFO] - [PLAYER] Role changed to CITIZEN (MINER)
2026-01-22 01:13:37,358 - [INFO] - [PLAYER] Role changed to CITIZEN (MINER)
2026-01-22 01:13:37,464 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (85, 7) | Reason: Random Move | CurrPos: (51, 49)
2026-01-22 01:13:37,464 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (85, 7) | Reason: Random Move | CurrPos: (51, 49)
2026-01-22 01:13:37,480 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (49, 90) | Reason: Random Move | CurrPos: (51, 48)
2026-01-22 01:13:37,480 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (49, 90) | Reason: Random Move | CurrPos: (51, 48)
2026-01-22 01:13:37,482 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (27, 56) | Reason: Go Home | CurrPos: (53, 47)
2026-01-22 01:13:37,482 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (27, 56) | Reason: Go Home | CurrPos: (53, 47)
2026-01-22 01:13:37,500 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (34, 22) | Reason: Go Home | CurrPos: (46, 52)
2026-01-22 01:13:37,500 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (34, 22) | Reason: Go Home | CurrPos: (46, 52)
2026-01-22 01:13:37,515 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (55, 65) | Reason: Random Move | CurrPos: (54, 51)
2026-01-22 01:13:37,515 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (55, 65) | Reason: Random Move | CurrPos: (54, 51)
2026-01-22 01:13:37,632 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (6, 34) | Reason: Random Move | CurrPos: (51, 47)
2026-01-22 01:13:37,632 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (6, 34) | Reason: Random Move | CurrPos: (51, 47)
2026-01-22 01:13:37,667 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (39, 34) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:13:37,667 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (39, 34) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:13:37,770 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (36, 75) | Reason: Random Move | CurrPos: (47, 46)
2026-01-22 01:13:37,770 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (36, 75) | Reason: Random Move | CurrPos: (47, 46)
2026-01-22 01:13:37,887 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (57, 24) | Reason: Random Move | CurrPos: (46, 51)
2026-01-22 01:13:37,887 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (57, 24) | Reason: Random Move | CurrPos: (46, 51)
2026-01-22 01:13:37,935 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (39, 34) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:13:37,935 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (39, 34) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:13:37,995 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (39, 34) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:13:37,995 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (39, 34) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:13:38,035 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (10, 33) | Reason: Go Home | CurrPos: (52, 47)
2026-01-22 01:13:38,035 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (10, 33) | Reason: Go Home | CurrPos: (52, 47)
2026-01-22 01:13:38,100 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (39, 34) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:13:38,100 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (39, 34) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:13:38,116 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (95, 30) | Reason: Go Home | CurrPos: (46, 48)
2026-01-22 01:13:38,116 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (95, 30) | Reason: Go Home | CurrPos: (46, 48)
2026-01-22 01:13:38,175 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (39, 34) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:13:38,175 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (39, 34) | Reason: Go Home | CurrPos: (46, 46)
