2026-01-22 11:46:13,112 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 11:46:13,137 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 11:46:37,729 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 11:46:37,748 - [INFO] - [PLAYER] Initialized at (1664, 1632) Role: CITIZEN
2026-01-22 11:46:37,751 - [INFO] - [PLAYER] Role changed to CITIZEN (FARMER)
2026-01-22 11:46:37,861 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (40, 96) | Reason: Go Home | CurrPos: (49, 47)
2026-01-22 11:46:37,877 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (97, 1) | Reason: Random Move | CurrPos: (49, 52)
2026-01-22 11:46:37,893 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (2, 73) | Reason: Random Move | CurrPos: (52, 46)
2026-01-22 11:46:37,895 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (44, 17) | Reason: Random Move | CurrPos: (45, 46)
2026-01-22 11:46:37,976 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (59, 23) | Reason: Go Home | CurrPos: (45, 50)
2026-01-22 11:46:38,075 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (98, 45) | Reason: Go Home | CurrPos: (52, 47)
2026-01-22 11:46:38,082 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (14, 90) | Reason: Go Home | CurrPos: (52, 53)
2026-01-22 11:46:38,116 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (41, 96) | Reason: Go Home | CurrPos: (48, 47)
2026-01-22 11:46:38,164 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (97, 45) | Reason: Go Home | CurrPos: (52, 47)
2026-01-22 11:46:38,230 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (46, 82) | Reason: Go Home | CurrPos: (47, 45)
2026-01-22 11:46:38,330 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (59, 22) | Reason: Random Move | CurrPos: (53, 50)
2026-01-22 11:46:38,352 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (47, 82) | Reason: Go Home | CurrPos: (47, 46)
2026-01-22 11:46:38,433 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (78, 84) | Reason: Random Move | CurrPos: (53, 50)
2026-01-22 11:46:38,502 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (43, 33) | Reason: Go Home | CurrPos: (47, 47)
